station_id,capacity,hour,day_of_week,is_weekend,is_peak_hour,avg_temp,avg_humidity,max_barometric_pressure_hpa,num_bikes_available
11,30,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,1
112,30,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,5
113,40,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,22
114,40,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,6
115,30,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,22
116,30,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,2
13,30,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,0
14,30,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,18
15,16,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,2
17,20,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,3
18,30,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,9
2,20,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,6
20,30,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,0
21,30,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,11
22,20,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,7
24,20,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,15
27,20,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,13
28,30,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,5
29,29,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,24
3,20,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,15
30,20,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,0
32,30,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,11
33,23,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,21
34,30,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,0
35,30,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,18
36,40,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,21
38,40,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,29
39,20,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,3
4,20,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,11
40,21,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,15
42,30,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,9
44,30,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,7
45,30,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,29
48,40,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,13
49,40,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,14
5,40,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,4
50,40,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,15
52,32,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,27
53,40,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,7
54,33,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,14
55,36,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,2
58,40,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,8
60,30,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,4
64,40,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,17
65,40,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,3
67,40,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,15
68,40,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,12
69,40,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,20
72,31,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,11
73,30,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,8
74,30,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,6
77,29,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,27
78,40,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,1
8,30,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,15
80,40,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,28
82,22,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,10
83,40,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,35
84,30,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,25
85,35,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,24
87,38,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,32
89,40,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,0
9,24,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,1
91,30,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,30
93,40,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,36
94,40,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,40
95,40,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,18
96,30,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,14
97,40,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,26
98,40,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,26
99,30,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,4
10,16,1,6,1,0,13.54,87.15,1001.89,12
104,40,1,6,1,0,13.54,87.15,1001.89,0
105,36,1,6,1,0,13.54,87.15,1001.89,0
109,29,1,6,1,0,13.54,87.15,1001.89,20
11,30,1,6,1,0,13.54,87.15,1001.89,1
110,40,1,6,1,0,13.54,87.15,1001.89,2
112,30,1,6,1,0,13.54,87.15,1001.89,5
113,40,1,6,1,0,13.54,87.15,1001.89,22
114,40,1,6,1,0,13.54,87.15,1001.89,6
115,30,1,6,1,0,13.54,87.15,1001.89,22
116,30,1,6,1,0,13.54,87.15,1001.89,2
13,30,1,6,1,0,13.54,87.15,1001.89,0
14,30,1,6,1,0,13.54,87.15,1001.89,18
15,16,1,6,1,0,13.54,87.15,1001.89,2
17,20,1,6,1,0,13.54,87.15,1001.89,3
18,30,1,6,1,0,13.54,87.15,1001.89,10
2,20,1,6,1,0,13.54,87.15,1001.89,6
